id	sym	MYC_GFP_untreated_rep1	MYC_GFP_untreated_rep2	MYC_GFP_untreated_rep3	MYC_GFP_NCS_rep1	MYC_GFP_NCS_rep2	MYC_GFP_NCS_rep3
ENSG00000000003	TSPAN6	278	238	372	165	210	316
ENSG00000000419	DPM1	1862	2118	2003	1548	1453	1641
ENSG00000000457	SCYL3	480	414	340	470	620	391
ENSG00000000460	C1orf112	414	280	181	336	413	270
ENSG00000001036	FUCA2	1361	1083	1619	717	764	1037
ENSG00000001084	GCLC	464	429	465	434	417	310
ENSG00000001167	NFYA	447	496	565	526	485	432
ENSG00000001460	STPG1	107	69	118	75	91	86
ENSG00000001461	NIPAL3	77	54	71	41	37	56
ENSG00000001497	LAS1L	422	236	567	223	206	246
ENSG00000001561	ENPP4	78	31	54	68	78	68
ENSG00000001617	SEMA3F	36	43	52	41	19	33
ENSG00000001626	CFTR	0	0	0	0	0	0
ENSG00000001629	ANKIB1	640	631	473	631	741	537
ENSG00000001630	CYP51A1	418	303	85	350	366	217
ENSG00000001631	KRIT1	687	560	494	657	783	501
ENSG00000002016	RAD52	134	94	104	129	147	91
ENSG00000002079	MYH16	32	23	14	43	60	40
ENSG00000002330	BAD	138	125	210	87	82	105
ENSG00000002549	LAP3	615	469	792	344	311	425
ENSG00000002587	HS3ST1	153	208	185	139	102	117
ENSG00000002745	WNT16	0	4	2	0	1	1
ENSG00000002746	HECW1	14	7	6	6	5	8
ENSG00000002822	MAD1L1	127	87	148	119	112	117
ENSG00000002834	LASP1	285	273	445	248	239	258
ENSG00000002919	SNX11	461	467	777	331	290	400
ENSG00000003056	M6PR	463	397	538	362	397	361
ENSG00000003096	KLHL13	3	4	0	1	4	1
ENSG00000003137	CYP26B1	16	9	13	15	10	6
ENSG00000003147	ICA1	617	409	696	296	383	397
ENSG00000003249	DBNDD1	695	461	1119	367	327	473
ENSG00000003393	ALS2	318	223	228	289	289	209
ENSG00000003400	CASP10	0	0	0	1	2	0
ENSG00000003402	CFLAR	365	285	282	407	419	315
ENSG00000003436	TFPI	54	76	55	18	25	35
ENSG00000003509	NDUFAF7	318	222	237	216	227	164
ENSG00000003756	RBM5	480	293	444	368	378	377
ENSG00000003987	MTMR7	30	31	22	41	32	14
ENSG00000003989	SLC7A2	279	239	177	280	312	184
ENSG00000004059	ARF5	599	582	925	352	371	593
ENSG00000004139	SARM1	19	9	6	9	10	12
ENSG00000004142	POLDIP2	653	478	1412	359	383	478
ENSG00000004399	PLXND1	45	54	33	34	51	32
ENSG00000004455	AK2	1402	892	1683	753	923	856
ENSG00000004468	CD38	0	0	0	0	0	0
ENSG00000004478	FKBP4	965	661	1058	524	540	545
ENSG00000004487	KDM1A	323	229	331	285	247	196
ENSG00000004534	RBM6	262	167	346	172	178	193
ENSG00000004660	CAMKK1	27	23	58	9	11	12
ENSG00000004700	RECQL	128	75	102	138	142	71
ENSG00000004766	VPS50	366	259	232	364	456	221
ENSG00000004776	HSPB6	0	0	2	0	0	0
ENSG00000004777	ARHGAP33	12	9	19	4	9	13
ENSG00000004779	NDUFAB1	1870	2243	2746	1405	1411	1948
ENSG00000004799	PDK4	206	136	138	136	141	124
ENSG00000004838	ZMYND10	0	0	1	0	0	0
ENSG00000004848	ARX	8	3	8	3	7	9
ENSG00000004864	SLC25A13	1075	920	978	997	921	836
ENSG00000004866	ST7	283	261	298	177	226	178
ENSG00000004897	CDC27	1027	1056	695	749	809	650
ENSG00000004939	SLC4A1	0	1	0	0	1	0
ENSG00000004948	CALCR	23	16	15	31	22	18
ENSG00000004961	HCCS	1192	981	1520	706	752	762
ENSG00000004975	DVL2	33	30	90	38	34	44
ENSG00000005001	PRSS22	130	116	149	130	102	132
ENSG00000005007	UPF1	355	233	400	241	219	194
ENSG00000005020	SKAP2	315	330	330	235	269	230
ENSG00000005022	SLC25A5	4988	4291	7459	2748	2979	3991
ENSG00000005059	CCDC109B	518	462	669	254	314	367
ENSG00000005073	HOXA11	17	12	17	16	10	7
ENSG00000005075	POLR2J	1153	1158	1620	803	858	1196
ENSG00000005100	DHX33	352	328	322	243	259	243
ENSG00000005108	THSD7A	0	1	0	4	1	0
ENSG00000005156	LIG3	155	84	73	101	147	89
ENSG00000005175	RPAP3	720	700	725	488	378	432
ENSG00000005187	ACSM3	6	9	0	13	12	3
ENSG00000005189	AC004381.6	201	157	255	206	150	148
ENSG00000005194	CIAPIN1	439	386	732	269	271	348
ENSG00000005206	SPPL2B	54	29	32	34	36	32
ENSG00000005238	FAM214B	10	12	22	15	3	11
ENSG00000005243	COPZ2	51	21	61	29	41	50
ENSG00000005249	PRKAR2B	569	655	497	343	321	402
ENSG00000005302	MSL3	98	62	132	70	71	68
ENSG00000005339	CREBBP	899	945	733	966	960	718
ENSG00000005421	PON1	0	1	0	0	0	0
ENSG00000005436	GCFC2	252	213	192	217	290	174
ENSG00000005448	WDR54	201	182	289	95	139	220
ENSG00000005469	CROT	698	554	623	790	833	710
ENSG00000005471	ABCB4	23	26	23	33	50	13
ENSG00000005483	KMT2E	3777	4772	4459	3161	3118	3456
ENSG00000005486	RHBDD2	1167	1015	1776	716	756	931
ENSG00000005513	SOX8	0	0	1	0	0	0
ENSG00000005700	IBTK	860	630	503	822	864	619
ENSG00000005801	ZNF195	785	783	744	875	897	853
ENSG00000005810	MYCBP2	376	309	326	423	349	275
ENSG00000005812	FBXL3	408	389	347	427	420	263
ENSG00000005844	ITGAL	1	1	8	0	1	2
ENSG00000005882	PDK2	45	38	88	37	21	14
ENSG00000005884	ITGA3	142	106	145	120	143	122
ENSG00000005889	ZFX	1543	1194	919	1465	1545	893
ENSG00000005893	LAMP2	1014	765	705	784	834	600
ENSG00000005961	ITGA2B	15	12	7	1	3	1
ENSG00000006007	GDE1	986	1091	1064	730	672	979
ENSG00000006015	C19orf60	230	131	266	96	120	162
ENSG00000006016	CRLF1	10	3	5	12	3	5
ENSG00000006025	OSBPL7	84	52	152	66	104	92
ENSG00000006042	TMEM98	3	2	2	3	1	0
ENSG00000006047	YBX2	47	39	64	17	36	24
ENSG00000006062	MAP3K14	224	205	295	191	180	191
ENSG00000006071	ABCC8	16	15	19	17	10	22
ENSG00000006118	TMEM132A	105	74	129	51	62	88
ENSG00000006125	AP2B1	307	315	266	327	285	241
ENSG00000006194	ZNF263	537	484	695	402	390	337
ENSG00000006210	CX3CL1	0	0	0	0	0	0
ENSG00000006282	SPATA20	169	116	252	63	103	124
ENSG00000006283	CACNA1G	0	0	1	0	0	0
ENSG00000006327	TNFRSF12A	4572	3655	7223	2247	2564	3091
ENSG00000006377	DLX6	0	0	0	0	0	1
ENSG00000006432	MAP3K9	903	808	1067	745	816	601
ENSG00000006451	RALA	872	1139	1466	740	732	856
ENSG00000006453	BAIAP2L1	609	412	591	486	553	457
ENSG00000006459	KDM7A	242	197	107	212	215	121
ENSG00000006468	ETV1	0	0	0	0	0	0
ENSG00000006530	AGK	454	371	441	353	332	346
ENSG00000006534	ALDH3B1	44	39	33	16	27	28
ENSG00000006576	PHTF2	652	557	474	469	489	376
ENSG00000006606	CCL26	13	12	11	4	4	6
ENSG00000006607	FARP2	406	366	166	373	420	283
ENSG00000006625	GGCT	1165	1154	1287	588	621	860
ENSG00000006634	DBF4	3900	4568	4057	2537	2146	2201
ENSG00000006638	TBXA2R	2	1	0	0	1	1
ENSG00000006652	IFRD1	2859	2820	2982	2642	2587	2304
ENSG00000006695	COX10	569	507	453	418	467	480
ENSG00000006704	GTF2IRD1	151	115	222	112	105	86
ENSG00000006712	PAF1	353	234	441	181	211	252
ENSG00000006715	VPS41	245	174	117	203	228	154
ENSG00000006740	ARHGAP44	63	36	31	55	51	37
ENSG00000006744	ELAC2	430	321	470	313	294	268
ENSG00000006747	SCIN	20	8	14	13	8	7
ENSG00000006756	ARSD	136	114	99	111	125	123
ENSG00000006757	PNPLA4	86	69	101	72	84	69
ENSG00000006831	ADIPOR2	828	873	881	882	873	663
ENSG00000006837	CDKL3	42	31	22	24	53	37
ENSG00000007001	UPP2	0	0	2	2	1	0
ENSG00000007038	PRSS21	0	0	0	1	0	0
ENSG00000007047	MARK4	26	24	32	21	26	9
ENSG00000007062	PROM1	4	0	3	0	0	0
ENSG00000007080	CCDC124	276	245	555	130	174	232
ENSG00000007129	CEACAM21	1	0	0	0	0	0
ENSG00000007168	PAFAH1B1	324	338	416	356	344	250
ENSG00000007171	NOS2	0	0	0	0	0	0
ENSG00000007174	DNAH9	0	0	0	0	3	0
ENSG00000007202	KIAA0100	469	344	268	370	404	347
ENSG00000007237	GAS7	0	0	0	2	0	0
ENSG00000007255	TRAPPC6A	172	146	305	91	85	127
ENSG00000007264	MATK	44	22	92	12	21	21
ENSG00000007306	CEACAM7	5	9	0	0	2	0
ENSG00000007314	SCN4A	0	5	4	0	0	3
ENSG00000007341	ST7L	275	188	227	202	232	177
ENSG00000007372	PAX6	22	17	22	23	22	16
ENSG00000007376	RPUSD1	206	182	502	90	75	111
ENSG00000007384	RHBDF1	240	149	303	125	87	140
ENSG00000007392	LUC7L	626	412	600	426	515	382
ENSG00000007402	CACNA2D2	1	0	0	4	2	1
